journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Transactions of the Association for Computational Linguistics,cs_ai,T3,2307-387X,814,184,Transactions of the Association for Computational Linguistics
International Journal of Computational Intelligence and Applications,cs_ai,T3,1469-0268;1757-5885,797,79,International Journal of Computational Intelligence and Applications
"Technology, Knowledge and Learning",cs_ai,T3,2211-1662;2211-1670,786,438,Technology Knowledge and Learning
Journal of Sensor and Actuator Networks,cs_ai,T3,2224-2708,779,235,Journal of Sensor and Actuator Networks
European Journal of Computer Science and Information Technology,cs_ai,T3,2054-0957;2054-0965,754,376,European Journal of Computer Science and Information Technology
Computational Continuum Mechanics,cs_ai,T3,1999-6691;2782-3709,748,68,Computational Continuum Mechanics
Machine Learning with Applications,cs_ai,T3,2666-8270,703,731,Machine Learning with Applications
Artificial Intelligence and Law,cs_ai,T3,0924-8463;1572-8382,698,218,Artificial Intelligence and Law
Machine Learning and Knowledge Extraction,cs_ai,T3,2504-4990,696,766,Machine Learning and Knowledge Extraction
International Journal of Artificial Intelligence in Education,cs_ai,T3,1560-4292;1560-4306,691,302,International Journal of Artificial Intelligence in Education
Computational Statistics & Data Analysis,cs_ai,T3,,622,622,
Journal of Complex Networks,cs_ai,T3,2051-1310;2051-1329,615,90,Journal of Complex Networks
Intelligent Systems with Applications,cs_ai,T3,2667-3053,600,344,Intelligent Systems with Applications
Computers and Education: Artificial Intelligence,cs_ai,T3,2666-920X,585,776,Computers and Education Artificial Intelligence
Radiology: Artificial Intelligence,cs_ai,T3,2638-6100,578,470,Radiology Artificial Intelligence
Artificial Intelligence and Robotics Research,cs_ai,T3,2326-3415;2326-3423,575,650,Artificial Intelligence and Robotics Research
IEEE Transactions on Networking,cs_ai,T3,2998-4157,567,123,IEEE Transactions on Networking
Computational Visual Media,cs_ai,T3,2096-0433;2096-0662,536,164,Computational Visual Media
Applied Computational Intelligence and Soft Computing,cs_ai,T3,1687-9724;1687-9732,500,286,Applied Computational Intelligence and Soft Computing
Journal of Computational Social Science,cs_ai,T3,2432-2717;2432-2725,461,222,Journal of Computational Social Science
Journal of Machine and Computing,cs_ai,T3,2789-1801;2788-7669,450,351,Journal of Machine and Computing
Systems and Soft Computing,cs_ai,T3,2772-9419,443,399,Systems and Soft Computing
Progress in Artificial Intelligence,cs_ai,T3,2192-6352;2192-6360,431,210,Progress in Artificial Intelligence
Computational Toxicology,cs_ai,T3,2468-1113,404,105,Computational Toxicology
Big Data Mining and Analytics,cs_ai,T3,2096-0654;2096-0654;2097-406X,381,194,Big Data Mining and Analytics
IEEE Journal on Multiscale and Multiphysics Computational Techniques,cs_ai,T3,2379-8815,381,73,IEEE Journal on Multiscale and Multiphysics Computational Techniques
Journal of Intelligent & Robotic Systems,cs_ai,T3,,316,316,
Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology,cs_ai,T3,,299,299,
Computers in Human Behavior: Artificial Humans,cs_ai,T3,2949-8821,286,245,Computers in Human Behavior Artificial Humans
Computational Urban Science,cs_ai,T3,2730-6852,257,141,Computational Urban Science
Journal of Big Data and Computing,cs_ai,T3,2959-0590;2959-0590,244,128,Journal of Big Data and Computing
Journal of Intelligence and Knowledge Engineering,cs_ai,T3,2959-0620;2959-0620,231,226,Journal of Intelligence and Knowledge Engineering
Data & Knowledge Engineering,cs_ai,T3,,219,219,
Journal of Artificial Intelligence and Capsule Networks,cs_ai,T3,2582-2012,211,51,Journal of Artificial Intelligence and Capsule Networks
Discrete & Computational Geometry,cs_ai,T3,,206,206,
Robotic Intelligence and Automation,cs_ai,T3,2754-6969;2754-6977,197,240,Robotic Intelligence and Automation
Artificial Intelligence in Geosciences,cs_ai,T3,2666-5441,180,208,Artificial Intelligence in Geosciences
Intelligent Data Analysis: An International Journal,cs_ai,T3,,167,167,
Turkish Computational and Theoretical Chemistry,cs_ai,T3,2587-1722,167,78,Turkish Computational and Theoretical Chemistry
Journal of Computer Science and Artificial Intelligence,cs_ai,T3,3078-8242;3078-2309,152,292,Journal of Computer Science and Artificial Intelligence
Journal of Automation and Intelligence,cs_ai,T3,2949-8554,127,83,Journal of Automation and Intelligence
Artificial Intelligence Chemistry,cs_ai,T3,2949-7477,115,160,Artificial Intelligence Chemistry
Scientific Journal of Artificial Intelligence and Blockchain Technologies,cs_ai,T3,3049-4389,110,164,Scientific Journal of Artificial Intelligence and Blockchain Technologies
IEEE Transactions on Circuits and Systems for Artificial Intelligence,cs_ai,T3,2996-6647,109,57,IEEE Transactions on Circuits and Systems for Artificial Intelligence
The European Journal on Artificial Intelligence,cs_ai,T3,3050-4554;3050-4546,92,136,The European Journal on Artificial Intelligence
European Journal of Radiology Artificial Intelligence,cs_ai,T3,3050-5771,88,148,European Journal of Radiology Artificial Intelligence
npj Artificial Intelligence,cs_ai,T3,3005-1460,87,60,npj Artificial Intelligence
Journal of Future Artificial Intelligence and Technologies,cs_ai,T3,3048-3719,81,65,Journal of Future Artificial Intelligence and Technologies
WIREs Computational Molecular Science,cs_ai,T3,,73,73,
Journal of Applied Artificial Intelligence,cs_ai,T3,2709-5908,43,66,Journal of Applied Artificial Intelligence
International Journal for Computational Civil and Structural Engineering,cs_ai,T3,1524-5845,16,128,International Journal for Computational Civil and Structural Engineering
Journal of Computational Design and Engineering,cs_ai,T3,2288-4300,6,270,Journal of Computational Design and Engineering
REST Journal on Data Analytics and Artificial Intelligence,cs_ai,T3,,0,351,REST Journal on Data Analytics and Artificial Intelligence
Physical Review B,stem,T1,1098-0121;1550-235X;0163-1829;0556-2805;1095-3795;2469-9950;2469-9969,225602,24148,Physical Review B
Journal of the American Chemical Society,stem,T1,0002-7863;1520-5126,218083,28261,Journal of the American Chemical Society
Journal of Physics: Conference Series,stem,T1,1742-6588;1742-6596,213059,49616,Journal of Physics Conference Series
Journal of Applied Physics,stem,T1,0021-8979;1089-7550,151745,12754,Journal of Applied Physics
The Journal of Chemical Physics,stem,T1,0021-9606;1089-7690,149808,22691,The Journal of Chemical Physics
Physical Review Letters,stem,T1,0031-9007;1079-7114,142552,14927,Physical Review Letters
Applied Physics Letters,stem,T1,0003-6951;1077-3118,139708,22193,Applied Physics Letters
Analytical Chemistry,stem,T1,0003-2700;1520-6882,138385,14825,Analytical Chemistry
The Astrophysical Journal,stem,T1,0004-637X;1538-4357,132274,9272,The Astrophysical Journal
Physical Review D,stem,T1,1550-7998;1089-4918;0556-2821;1550-2368;2470-0010;2470-0029,118922,24336,Physical Review D
The Journal of Organic Chemistry,stem,T1,0022-3263;1520-6904,101595,11709,The Journal of Organic Chemistry
IOP Conference Series: Materials Science and Engineering,stem,T1,1757-8981;1757-899X,99061,9084,IOP Conference Series Materials Science and Engineering
The Journal of Physical Chemistry B,stem,T1,1520-6106;1520-5207;0022-3654;1089-5647,97774,2599,The Journal of Physical Chemistry B
Physical Review A,stem,T1,1050-2947;1094-1622;0556-2791;2469-9926;2469-9934,96759,7463,Physical Review A
Journal of Alloys and Compounds,stem,T1,0925-8388,88669,27033,Journal of Alloys and Compounds
Japanese Journal of Applied Physics,stem,T1,0021-4922;1347-4065,83435,3891,Japanese Journal of Applied Physics
RSC Advances,stem,T1,2046-2069,80824,8078,RSC Advances
Chemical Communications,stem,T1,1359-7345;1364-548X,76191,20525,Chemical Communications
Inorganic Chemistry,stem,T1,0020-1669;1520-510X,76116,17365,Inorganic Chemistry
Chemical Engineering Journal,stem,T1,1385-8947,71730,209338,Chemical Engineering Journal
Journal of Applied Polymer Science,stem,T1,0021-8995;1097-4628,67682,11627,Journal of Applied Polymer Science
Chemical Physics Letters,stem,T1,0009-2614,67103,3864,Chemical Physics Letters
Physics Letters B,stem,T1,0370-2693,66847,4108,Physics Letters B
Applied Surface Science,stem,T1,0169-4332,66649,24485,Applied Surface Science
Optics Express,stem,T1,1094-4087,66204,11634,Optics Express
The Journal of Physical Chemistry C,stem,T1,1932-7447;1932-7455,58204,13025,The Journal of Physical Chemistry C
International Journal of Hydrogen Energy,stem,T1,0360-3199;0360-3199,57824,29439,International Journal of Hydrogen Energy
